Date,Action,Price,Shares,Amount,Fee,Profit/Loss
2023-06-20 18:05:00,Sell,1780.4,0.060033736972106753,106.88406530513888,0.3740942285679861,6.509971076570889
2023-06-20 18:10:00,Sell,1786.06,0.06058450520120866,108.20756135967073,0.3787264647588476,7.828834894911886
2023-06-20 18:15:00,Sell,1783.1,0.06047677424836443,107.83613616225861,0.3774264765679051,7.458709685690707
2023-06-21 16:20:00,Sell,1885.35,0.05821697727405503,109.75937810363965,0.3841578233627388,9.37522028027691
2023-06-21 16:25:00,Sell,1894.05,0.058142248672618004,110.12432609837212,0.38543514134430246,9.73889095702782
2023-06-21 17:15:00,Buy,1869.8,0.053294469996791105,100.0,0.35000000000000003,
2023-06-22 00:30:00,Sell,1914.64,0.053294469996791105,102.03972403465613,0.3571390341212965,1.6825850005348353
2023-06-22 11:10:00,Buy,1891.02,0.052696428382566024,100.0,0.35000000000000003,
2023-06-23 15:55:00,Sell,1917.74,0.052696428382566024,101.05804856638217,0.3537031699823376,0.7043453963998314
2023-06-23 16:25:00,Buy,1909.11,0.05219709707664829,100.0,0.35000000000000003,
2023-06-23 16:30:00,Buy,1912.58,0.05210239571678048,100.0,0.35000000000000003,
2023-06-24 12:25:00,Sell,1902.08,0.05219709707664829,99.28305440755118,0.3474906904264291,-1.0644362828752523
2023-06-25 03:55:00,Sell,1895.83,0.05210239571678048,98.77728487174393,0.34572049705110375,-1.5684356253071736
2023-06-26 14:45:00,Buy,1881.45,0.052964468893672435,100.0,0.35000000000000003,
2023-06-26 16:50:00,Buy,1858.81,0.053609567411408376,100.0,0.35000000000000003,
2023-06-26 17:00:00,Buy,1853.5,0.05376315079579175,100.0,0.35000000000000003,
2023-06-27 16:45:00,Sell,1896.68,0.052964468893672435,100.45664886125064,0.35159827101437724,0.10505059023626462
2023-06-28 19:30:00,Buy,1829.91,0.054456230087818525,100.0,0.35000000000000003,
2023-06-30 02:15:00,Sell,1851.02,0.053609567411408376,99.23238146986513,0.34731333514452795,-1.114931865279396
2023-06-30 03:35:00,Sell,1874.86,0.05376315079579175,100.79838090099811,0.3527943331534934,0.44558656784461814
2023-06-30 04:45:00,Sell,1902.0,0.054456230087818525,103.57574962703083,0.3625151236946079,3.213234503336223
2023-06-30 13:40:00,Buy,1863.68,0.05346947973901099,100.0,0.35000000000000003,
2023-06-30 13:45:00,Buy,1845.02,0.05401025463138611,100.0,0.35000000000000003,
2023-06-30 13:50:00,Buy,1843.83,0.0540451126188423,100.0,0.35000000000000003,
2023-06-30 13:55:00,Buy,1855.34,0.05370983216014316,100.0,0.35000000000000003,
2023-06-30 14:05:00,Buy,1852.26,0.05379914266895577,100.0,0.35000000000000003,
2023-06-30 16:35:00,Sell,1876.46,0.05346947973901099,100.33333995106457,0.351166689828726,-0.01782673876415264
2023-06-30 16:45:00,Sell,1890.4,0.05401025463138611,102.10098535517231,0.3573534487431031,1.7436319064292094
2023-06-30 16:55:00,Sell,1898.06,0.0540451126188423,102.58086645731981,0.35903303260061936,2.221833424719195
2023-06-30 17:05:00,Sell,1909.36,0.05370983216014316,102.55140513329094,0.3589299179665183,2.1924752153244236
2023-06-30 17:25:00,Sell,1923.15,0.05379914266895577,103.46382122380228,0.362123374283308,3.1016978495189766
2023-07-02 15:25:00,Buy,1912.25,0.052111387109426074,100.0,0.35000000000000003,
2023-07-02 22:25:00,Sell,1949.9,0.052111387109426074,101.6119937246699,0.3556419780363447,1.2563517466335563
2023-07-02 22:45:00,Buy,1936.48,0.05145934892175494,100.0,0.35000000000000003,
2023-07-06 11:55:00,Buy,1917.58,0.05196654116125534,100.0,0.35000000000000003,
2023-07-06 12:35:00,Buy,1900.01,0.052447092383724296,100.0,0.35000000000000003,
2023-07-07 00:05:00,Buy,1837.28,0.054237786292780636,100.0,0.35000000000000003,
2023-07-10 18:45:00,Sell,1886.31,0.05145934892175494,97.06828446459555,0.33973899562608445,-3.2714545310305345
2023-07-13 15:45:00,Sell,1932.5,0.05196654116125534,100.42534079412594,0.35148869277944084,0.07385210134650311
2023-07-13 16:10:00,Sell,1948.17,0.052447092383724296,102.17585196920017,0.3576154818922006,1.8182364873079664
2023-07-13 16:15:00,Sell,1951.95,0.054237786292780636,105.86944695419317,0.3705430643396761,5.498903889853489
2023-07-14 17:20:00,Buy,1970.72,0.050565275635300805,100.0,0.35000000000000003,
2023-07-14 18:25:00,Buy,1931.04,0.05160431684480902,100.0,0.35000000000000003,
2023-07-14 18:30:00,Buy,1922.19,0.05184190948865617,100.0,0.35000000000000003,
2023-07-14 18:35:00,Buy,1922.76,0.0518265410139591,100.0,0.35000000000000003,
2023-07-14 18:40:00,Buy,1920.84,0.05187834489077696,100.0,0.35000000000000003,
2023-07-14 18:45:00,Buy,1923.46,0.0518076799101619,100.0,0.35000000000000003,
2023-07-14 18:50:00,Buy,1920.93,0.051875914270691804,100.0,0.35000000000000003,
2023-07-14 18:55:00,Buy,1916.89,0.05198524693644393,100.0,0.35000000000000003,
2023-07-14 19:00:00,Buy,1904.51,0.05232316973919801,100.0,0.35000000000000003,
2023-07-14 19:05:00,Buy,1914.47,0.05205095927332369,100.0,0.35000000000000003,
2023-07-16 14:30:00,Sell,1943.0,0.050565275635300805,98.24833055938946,0.34386915695786313,-2.095538597568405
2023-07-16 14:35:00,Sell,1940.77,0.05160431684480902,100.1521100029,0.35053238501015,-0.19842238211014757
2023-07-17 00:20:00,Sell,1926.34,0.05184190948865617,99.86514392437792,0.3495280037353227,-0.48438407935740474
2023-07-17 10:25:00,Buy,1907.2,0.05224937080536913,100.0,0.35000000000000003,
2023-07-18 18:30:00,Sell,1902.85,0.0518265410139591,98.61813356841208,0.34516346748944227,-1.7270298990773654
2023-07-19 00:35:00,Sell,1905.72,0.05187834489077696,98.86559942525147,0.3460295979883802,-1.4804301727369058
2023-07-22 23:20:00,Buy,1859.28,0.053596015661976686,100.0,0.35000000000000003,
2023-07-22 23:25:00,Buy,1856.48,0.053676850814444545,100.0,0.35000000000000003,
2023-07-22 23:30:00,Buy,1855.64,0.0537011489297493,100.0,0.35000000000000003,
2023-07-24 09:55:00,Buy,1842.21,0.05409263873282633,100.0,0.35000000000000003,
2023-07-26 20:20:00,Sell,1878.76,0.0518076799101619,97.33419670801577,0.3406696884780552,-3.006472980462288
2023-07-30 15:05:00,Sell,1881.2,0.051875914270691804,97.58896992602543,0.341561394741089,-2.7525914687156616
2023-07-31 00:50:00,Sell,1874.09,0.05198524693644393,97.4250314311202,0.3409876100089207,-2.9159561788887176
2023-08-01 02:10:00,Buy,1826.3,0.05456387231013525,100.0,0.35000000000000003,
2023-08-01 02:15:00,Buy,1827.27,0.05453490726603075,100.0,0.35000000000000003,
2023-08-07 01:30:00,Sell,1837.43,0.05232316973919801,96.1401617738946,0.3364905662086311,-4.196328792314027
2023-08-15 19:10:00,Buy,1818.25,0.05480544479582016,100.0,0.35000000000000003,
2023-08-16 18:25:00,Sell,1826.44,0.05205095927332369,95.06795405516932,0.33273783919309263,-5.264783784023769
2023-08-16 20:30:00,Buy,1805.84,0.0551820759314225,100.0,0.35000000000000003,
2023-08-17 15:40:00,Buy,1738.58,0.05731689079593692,100.0,0.35000000000000003,
2023-08-29 14:25:00,Sell,1695.9,0.05224937080536913,88.60970794882552,0.3101339778208893,-11.700426028995373
2023-08-29 14:30:00,Sell,1713.74,0.053596015661976686,91.84963588055592,0.32147372558194576,-8.471837845026023
2023-08-29 14:35:00,Sell,1717.7,0.053676850814444545,92.2007266439714,0.3227025432538999,-8.121975899282507
2023-08-29 14:45:00,Sell,1715.78,0.0537011489297493,92.13935731068526,0.3224877505873984,-8.183130439902143
2023-09-06 18:00:00,Sell,1646.86,0.05409263873282633,89.08300302354237,0.3117905105823983,-11.228787487040023
2023-09-07 21:10:00,Sell,1651.52,0.05456387231013525,90.11332639763457,0.315396642391721,-10.202070244757156
2023-09-11 09:25:00,Buy,1591.67,0.06260719872837962,100.0,0.35000000000000003,
2023-09-11 14:50:00,Buy,1555.11,0.06407906836172361,100.0,0.35000000000000003,
2023-09-12 03:25:00,Sell,1593.0,0.05453490726603075,86.87410727478698,0.30405937546175443,-13.429952100674775
2023-09-12 10:25:00,Sell,1612.29,0.05480544479582016,88.36227058985288,0.30926794706448507,-11.946997357211602
2023-09-14 00:55:00,Sell,1635.85,0.0551820759314225,90.2695989124175,0.31594359619346124,-10.046344683775969
2023-09-15 22:45:00,Sell,1651.29,0.05731689079593692,94.64680860242268,0.3312638301084794,-5.684455227685799
2023-09-20 19:20:00,Buy,1615.4,0.06168750773802154,100.0,0.35000000000000003,
2023-10-01 22:20:00,Sell,1730.15,0.06260719872837962,108.31984487990601,0.37911945707967104,7.940725422826343
2023-10-02 15:50:00,Buy,1695.49,0.058773569882452865,100.0,0.35000000000000003,
2023-10-02 18:40:00,Buy,1653.04,0.06028287276774912,100.0,0.35000000000000003,
2023-10-11 02:35:00,Buy,1555.8,0.06405064918369971,100.0,0.35000000000000003,
2023-10-13 21:05:00,Sell,1565.8,0.06407906836172361,100.33500524078683,0.3511725183427539,-0.01616727755592634
2023-10-16 13:45:00,Buy,1570.64,0.0634454744562726,100.0,0.35000000000000003,
2023-10-16 13:50:00,Buy,1581.8,0.06299785055000633,100.0,0.35000000000000003,
2023-10-19 01:45:00,Buy,1549.9,0.06429447061100717,100.0,0.35000000000000003,
